sample_label	location	Cq	Slope	EPF	sample	correct_sample	group	dilution	day
A1	A1	14.44	0.53	3.4	inoculum_1to10e3_exp_10	NA	inoculum	3	1
A2	A2	10	0.34	2.14	inoculum1_1to10e1_exp_07	NA	inoculum	1	1
A3	A3	27.09	0.48	3.18	inoculum_1to10e4_exp11_d2	NA	inoculum	4	2
A4	A4	10.97	0.38	2.86	inoculum_1to10e2_exp_10	NA	inoculum	2	1
A5	A5	10.11	0.44	3.3	inoculum_1to10e3_exp06_d2	NA	inoculum	3	2
A6	A6	11.26	0.33	2.35	inoculum_1to10e2_exp_07	NA	inoculum	2	1
A7	A7	24.77	0.47	2.87	inoculum_1to10e6_exp_08	NA	inoculum	6	1
A8	A8	15.63	0.5	3.46	inoculum_1to10e3_exp_06	NA	inoculum	3	1
A9	A9	12.4	0.43	3.12	inoculum_1to10e2_exp11_d2	NA	inoculum	2	2
A10	A10	9.79	0.35	2.29	inoculum1_1to10e1_exp07_d2	NA	inoculum	1	2
A11	A11	14.62	0.46	3.18	inoculum_1to10e3_exp_08	NA	inoculum	3	1
A12	A12	11.5	0.35	2.75	inoculum2_1to10e1_exp07_d2	inoculum2_1to10e1_exp07_d2	inoculum	1	2
B1	B1	11.71	0.5	3.28	inoculum_1to10e2_exp07_d2	NA	inoculum	2	2
B2	B2	25.69	0.38	2.66	inoculum_1to10e2_exp07_d2	inoculum_1to10e2_exp07_d2	inoculum	2	2
B3	B3	9.96	0.28	2.36	inoculum2_1to10e1_exp07_d2	NA	inoculum	1	2
B4	B4	11.37	0.32	2.64	inoculum_1to10e3_exp_08	inoculum_1to10e3_exp_08	inoculum	3	1
B5	B5	16.64	0.38	3.44	inoculum1_1to10e1_exp07_d2	inoculum1_1to10e1_exp07_d2	inoculum	1	2
B6	B6	10.65	0.23	2.02	inoculum_1to10e2_exp11_d2	inoculum_1to10e2_exp11_d2	inoculum	2	2
B7	B7	13.89	0.47	3.78	inoculum_1to10e3_exp_06	inoculum_1to10e3_exp_06	inoculum	3	1
B8	B8	14.19	0.28	2.39	inoculum_1to10e3_exp_07	NA	inoculum	3	1
B9	B9	26.43	0.31	2.48	inoculum_pbs_exp10_d1	NA	NA	PBS	1
B10	B10	9.53	0.25	1.87	inoculum_1to10e1_exp10_d2	NA	inoculum	1	2
B11	B11	9.59	0.25	1.82	inoculum_1to10e1_exp_08	NA	inoculum	1	1
B12	B12	15.16	0.55	3.45	inoculum_1to10e3_exp_04	NA	inoculum	3	1
C1	C1	14.49	0.47	3.17	inoculum_1to10e3_exp10_d2	NA	inoculum	3	2
C2	C2	9.64	0.2	1.81	inoculum_1to10e1_exp_10	NA	inoculum	1	1
C3	C3	17.42	0.38	3.1	inoculum_1to10e4_exp10_d2	NA	inoculum	4	2
C4	C4	10.26	0.32	2.7	inoculum_1to10e1_exp_11	NA	inoculum	1	1
C5	C5	12.04	0.32	2.62	inoculum_1to10e2_exp_05	NA	inoculum	2	1
C6	C6	9.93	0.3	2.43	inoculum_1to10e1_exp11_d2	NA	inoculum	1	2
C7	C7	21.75	0.43	3.25	inoculum_pbs_exp06_d1	NA	NA	PBS	1
C8	C8	14.82	0.4	2.9	inoculum_1to10e3_exp05_d2	inoculum_1to10e3_exp05_d2	inoculum	3	2
C9	C9	22.05	0.37	2.8	inoculum_pbs_exp08_d1	inoculum_pbs_exp08_d1	NA	PBS	1
C10	C10	26.65	0.38	2.77	inoculum_pbs_exp09_d1	inoculum_pbs_exp09_d1	NA	PBS	1
C11	C11	24.1	0.41	2.83	inoculum_pbs_exp09_d1	inoculum_pbs_exp09_d1	NA	PBS	1
C12	C12	17.6	0.51	3.4	inoculum_1to10e6_exp11_d2	inoculum_1to10e6_exp11_d2	inoculum	6	2
D1	D1	12.29	0.52	3.3	inoculum_1to10e6_exp11_d2	inoculum_1to10e6_exp11_d2	inoculum	6	2
D2	D2	26.84	0.41	2.85	inoculum_pbs_exp08_d1	NA	NA	PBS	1
D3	D3	26.75	0.4	2.83	inoculum_1to10e3_exp05_d2	NA	inoculum	3	2
D4	D4	10.03	0.34	2.86	inoculum_1to10e1_exp_05	NA	inoculum	1	1
D5	D5	15.02	0.4	3.19	inoculum_1to10e3_exp11_d2	NA	inoculum	3	2
D6	D6	26.28	0.21	1.95	inoculum_pbs_exp05_d1	NA	NA	PBS	1
D7	D7	11.05	0.15	2.96	inoculum_1to10e2_exp_08	NA	inoculum	2	1
