#This is a tab-delimited file. Additional Documentation can be found at http://www.mothur.org/wiki/MIMarks_Data_Packages.
#Please fill all the required fields indicated with '*'
#Unknown or inapplicable fields can be assigned 'missing' value.
#You may add extra custom fields to this template. Make sure all the fields are separated by tabs.
#You may remove any fields not required (marked with '*'). Make sure all the fields are separated by tabs.
#You can edit this template using Microsoft Excel or any other editor. But while saving the file please make sure to save them as 'TAB-DELIMITED' TEXT FILE.
#MIMARKS.survey.host-associated.4.0
#{sample name}	{description of sample}	{sample title}	{description of library_construction_protocol}	{http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=408169&lvl=3&keep=1&srchmode=1&unlock}	{Date of sampling, in "DD-Mmm-YYYY", "Mmm-YYYY" or "YYYY" format (eg., 30-Oct-1990, Oct-1990 or 1990) or ISO 8601 standard "YYYY-mm-dd", "YYYY-mm" or "YYYY-mm-ddThh:mm:ss" (eg., 1990-10-30, 1990-10 or 1990-10-30T14:41:36)}	{descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{descriptor of the local environment. Examples include: harbor, cliff, or lake. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Examples include: air, soil, or water. EnvO (v 2013-06-14) terms can be found via the link: www.environmentontology.org/Browse-EnvO}	{Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg "Canada: Vancouver" or "Germany: halfway down Zugspitze, Alps"}	{The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, "Homo sapiens".}	{The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format "d[d.dddd] N|S d[dd.dddd] W|E", eg, 38.98 N 77.11 W}
#{text}	{text}	{text}	{text}	{controlled vacabulary}	{{timestamp}}	{{term}}	{{term}}	{{term}}	{{term}:{term}:{text}}	{{none}}	{{float} {float}}
group	mouse_id	day	weight	cfu	antibiotic	collection_date	treatment_diluton	metadata_label	exp	dob	cage	outcome	timepoint	sample_name	description	sample_title	seq_methods	organism	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon
nt_4_0_dminus2	nt_4_0	-2	25.1	0	Clindamycin	2019-06-05	PBS	nt_4_0_dminus2	4	2019-04-02	NT4	cleared	initial	nt_4_0_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day -2 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_dminus2	nt_4_R	-2	25.2	0	Clindamycin	2019-06-05	PBS	nt_4_R_dminus2	4	2019-04-02	NT4	cleared	initial	nt_4_R_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day -2 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_0_dminus2	f_4_0	-2	23.3	0	Clindamycin	2019-06-05	-1	f_4_0_dminus2	4	2019-04-02	F4	cleared	initial	f_4_0_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse f_4_0 cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_0 , Day -2 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
f_4_R_dminus2	f_4_R	-2	25.2	0	Clindamycin	2019-06-05	-1	f_4_R_dminus2	4	2019-04-02	F4	cleared	initial	f_4_R_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse f_4_R cage F4 , which received the fecal community transplant treatment -1	Mouse f_4_R , Day -2 Treatment -1	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_0_dminus2	m_4_0	-2	25.1	0	Clindamycin	2019-06-05	-2	m_4_0_dminus2	4	2019-03-29	M4	cleared	initial	m_4_0_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse m_4_0 cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_0 , Day -2 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
m_4_R_dminus2	m_4_R	-2	26.4	0	Clindamycin	2019-06-05	-2	m_4_R_dminus2	4	2019-03-29	M4	cleared	initial	m_4_R_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse m_4_R cage M4 , which received the fecal community transplant treatment -2	Mouse m_4_R , Day -2 Treatment -2	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_0_dminus2	l_4_0	-2	27.5	0	Clindamycin	2019-06-05	-3	l_4_0_dminus2	4	2019-03-29	L4	cleared	initial	l_4_0_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse l_4_0 cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_0 , Day -2 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
l_4_R_dminus2	l_4_R	-2	27	0	Clindamycin	2019-06-05	-3	l_4_R_dminus2	4	2019-03-29	L4	cleared	initial	l_4_R_dminus2	Day -2 ,relative to C. difficile challenge, fecal sample from mouse l_4_R cage L4 , which received the fecal community transplant treatment -3	Mouse l_4_R , Day -2 Treatment -3	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_0_dminus1	nt_4_0	-1	24.1	0	Clindamycin	2019-06-06	PBS	nt_4_0_dminus1	4	2019-04-02	NT4	cleared	post_antibiotic	nt_4_0_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse nt_4_0 cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_0 , Day -1 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
nt_4_R_dminus1	nt_4_R	-1	24.5	0	Clindamycin	2019-06-06	PBS	nt_4_R_dminus1	4	2019-04-02	NT4	cleared	post_antibiotic	nt_4_R_dminus1	Day -1 ,relative to C. difficile challenge, fecal sample from mouse nt_4_R cage NT4 , which received the fecal community transplant treatment PBS	Mouse nt_4_R , Day -1 Treatment PBS	http://www.mothur.org/w/images/0/0c/Wet-lab_MiSeq_SOP.pdf 	mouse gut metagenome	mouse gut	feces	feces	USA: Michigan, Ann Arbor	Mus musculus	42.2820973 N 83.7338904 W
