Color	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;132;197;238	A1	A1	None	14.44	-	Positive	Unchecked	Unknown	-	14.44	0.00	-	-		SYBR Green I	 	0.53	3.40	None			1
255;132;197;238	A2	A2	None	10.00	-	Positive	Unchecked	Unknown	-	10.00	0.00	-	-		SYBR Green I	 	0.34	2.14	None			2
255;132;197;238	A3	A3	None	27.09	-	Positive	Unchecked	Unknown	-	27.09	0.00	-	-		SYBR Green I	 	0.48	3.18	None			3
255;132;197;238	A4	A4	None	10.97	-	Positive	Unchecked	Unknown	-	10.97	0.00	-	-		SYBR Green I	 	0.38	2.86	None			4
255;132;197;238	A5	A5	None	10.11	-	Positive	Unchecked	Unknown	-	10.11	0.00	-	-		SYBR Green I	 	0.44	3.30	None			5
255;132;197;238	A6	A6	None	11.26	-	Positive	Unchecked	Unknown	-	11.26	0.00	-	-		SYBR Green I	 	0.33	2.35	None			6
255;132;197;238	A7	A7	None	24.77	-	Positive	Unchecked	Unknown	-	24.77	0.00	-	-		SYBR Green I	 	0.47	2.87	None			7
255;132;197;238	A8	A8	None	15.63	-	Positive	Unchecked	Unknown	-	15.63	0.00	-	-		SYBR Green I	 	0.50	3.46	None			8
255;132;197;238	A9	A9	None	12.40	-	Positive	Unchecked	Unknown	-	12.40	0.00	-	-		SYBR Green I	 	0.43	3.12	None			9
255;132;197;238	A10	A10	None	9.79	-	Positive	Unchecked	Unknown	-	9.79	0.00	-	-		SYBR Green I	 	0.35	2.29	None			10
255;132;197;238	A11	A11	None	14.62	-	Positive	Unchecked	Unknown	-	14.62	0.00	-	-		SYBR Green I	 	0.46	3.18	None			11
255;132;197;238	A12	A12	None	11.50	-	Positive	Unchecked	Unknown	-	11.50	0.00	-	-		SYBR Green I	 	0.35	2.75	None			12
255;132;197;238	B1	B1	None	11.71	-	Positive	Unchecked	Unknown	-	11.71	0.00	-	-		SYBR Green I	 	0.50	3.28	None			13
255;132;197;238	B2	B2	None	25.69	-	Positive	Unchecked	Unknown	-	25.69	0.00	-	-		SYBR Green I	 	0.38	2.66	None			14
255;132;197;238	B3	B3	None	9.96	-	Positive	Unchecked	Unknown	-	9.96	0.00	-	-		SYBR Green I	 	0.28	2.36	None			15
255;132;197;238	B4	B4	None	11.37	-	Positive	Unchecked	Unknown	-	11.37	0.00	-	-		SYBR Green I	 	0.32	2.64	None			16
255;132;197;238	B5	B5	None	16.64	-	Positive	Unchecked	Unknown	-	16.64	0.00	-	-		SYBR Green I	 	0.38	3.44	None			17
255;132;197;238	B6	B6	None	10.65	-	Positive	Unchecked	Unknown	-	10.65	0.00	-	-		SYBR Green I	 	0.23	2.02	None			18
255;132;197;238	B7	B7	None	13.89	-	Positive	Unchecked	Unknown	-	13.89	0.00	-	-		SYBR Green I	 	0.47	3.78	None			19
255;132;197;238	B8	B8	None	14.19	-	Positive	Unchecked	Unknown	-	14.19	0.00	-	-		SYBR Green I	 	0.28	2.39	None			20
255;132;197;238	B9	B9	None	26.43	-	Positive	Unchecked	Unknown	-	26.43	0.00	-	-		SYBR Green I	 	0.31	2.48	None			21
